     Time        Chn     ID          Name                             Event Type    Dir    DLC   Data length   Data                            
 [+] 8.572362    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 99 99 33 99 CC 33 99         
 [+] 8.572906    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 FF 33 CC 00 33 CC 33         
 [+] 8.573447    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 33 CC 66 33 CC 99 33         
 [+] 8.573995    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 CC CC 33 CC FF 33 FF         
 [+] 8.574551    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 00 33 FF 33 33 FF 66         
 [+] 8.575107    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 33 FF 99 33 FF CC 33         
 [+] 8.575672    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 FF FF 66 00 00 66 00         
 [+] 8.576220    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 33 66 00 66 66 00 99         
 [+] 8.576764    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 66 00 CC 66 00 FF 66         
 [+] 8.577300    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 33 00 66 33 33 66 33         
 [+] 8.577837    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 66 66 33 99 66 33 CC         
 [+] 8.578389    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 66 33 FF 66 66 00 66         
 [+] 8.578925    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 66 33 66 66 66 66 66         
 [+] 8.579461    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 99 66 66 CC 66 66 FF         
 [+] 8.580002    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 66 99 00 66 99 33 66         
 [+] 8.580542    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 99 66 66 99 99 66 99         
 [+] 8.581086    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 CC 66 99 FF 66 CC 00         
 [+] 8.581618    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 66 CC 33 66 CC 66 66         
 [+] 8.582155    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 CC 99 66 CC CC 66 CC         
 [+] 8.582703    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 FF 66 FF 00 66 FF 33         
 [+] 8.583247    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 66 FF 66 66 FF 99 66         
 [+] 8.583803    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 FF CC 66 FF FF 99 00         
 [+] 8.584352    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 00 99 00 33 99 00 66         
 [+] 8.584896    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 99 00 99 99 00 CC 99         
 [+] 8.585440    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 00 FF 99 33 00 99 33         
 [+] 8.585972    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 33 99 33 66 99 33 99         
 [+] 8.586513    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 99 33 CC 99 33 FF 99         
 [+] 8.587053    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 66 00 99 66 33 99 66         
 [+] 8.587585    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 66 99 66 99 99 66 CC         
 [+] 8.588133    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 99 66 FF 99 99 00 99         
 [+] 8.588674    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 99 33 99 99 66 99 99         
 [+] 8.589214    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 99 99 99 CC 99 99 FF         
 [+] 8.589754    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 99 CC 00 99 CC 33 99         
 [+] 8.590286    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 CC 66 99 CC 99 99 CC         
 [+] 8.590835    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 CC 99 CC FF 99 FF 00         
 [+] 8.591375    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 99 FF 33 99 FF 66 99         
 [+] 8.591931    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 FF 99 99 FF CC 99 FF         
 [+] 8.592491    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 FF CC 00 00 CC 00 33         
 [+] 8.593044    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 CC 00 66 CC 00 99 CC         
 [+] 8.593600    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 00 CC CC 00 FF CC 33         
 [+] 8.594136    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 00 CC 33 33 CC 33 66         
 [+] 8.594668    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A CC 33 99 CC 33 CC CC         
 [+] 8.595213    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 33 FF CC 66 00 CC 66         
 [+] 8.595749    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C 33 CC 66 66 CC 66 99         
 [+] 8.596289    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D CC 66 CC CC 66 FF CC         
 [+] 8.596825    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 99 00 CC 99 33 CC 99         
 [+] 8.597358    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F 66 CC 99 99 CC 99 CC         
 [+] 8.597910    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 CC 99 FF CC CC 00 CC         
 [+] 8.598450    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 CC 33 CC CC 66 CC CC         
 [+] 8.598986    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             22 99 CC CC CC CC CC FF         
 [+] 8.599543    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             23 CC FF 00 CC FF 33 CC         
 [+] 8.600087    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             24 FF 66 CC FF 99 CC FF         
 [+] 8.600647    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             25 CC CC FF FF FF 00 00         
 [+] 8.601211    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             26 FF 00 33 FF 00 66 FF         
 [+] 8.601764    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             27 00 99 FF 00 CC FF 00         
 [+] 8.602320    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             28 FF FF 33 00 FF 33 33         
 [+] 8.602868    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             29 FF 33 66 FF 33 99 FF         
 [+] 8.603416    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2A 33 CC FF 33 FF FF 66         
 [+] 8.603965    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2B 00 FF 66 33 FF 66 66         
 [+] 8.604513    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2C FF 66 99 FF 66 CC FF         
 [+] 8.605065    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2D 66 FF FF 99 00 FF 99         
 [+] 8.605609    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2E 33 FF 99 66 FF 99 99         
 [+] 8.606170    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             2F FF 99 CC FF 99 FF FF         
 [+] 8.606734    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             20 CC 00 FF CC 33 FF CC         
 [+] 8.607282    CAN 1   18DA17F9x   KWP2000                          CAN Frame     Rx     8     8             21 66 FF CC 99 FF CC CC         
